,word,frequency
0,good,75
1,food,65
2,great,54
3,place,48
4,go,46
5,service,42
6,love,35
7,best,32
8,one,29
9,time,28
10,back,25
11,get,24
12,delicious,24
13,even,24
14,also,22
15,really,22
16,perfect,21
17,make,21
18,staff,21
19,always,21
20,super,21
21,beer,21
22,meat,21
23,sandwich,20
24,would,20
25,everything,20
26,chicken,20
27,like,19
28,breakfast,18
29,made,18
30,coffee,17
31,definitely,17
32,new,17
33,every,17
34,got,17
35,amazing,16
36,friendly,16
37,order,15
38,makes,15
39,worth,15
40,well,15
41,excellent,15
42,day,15
43,cream,14
44,come,14
45,fresh,14
46,experience,14
47,around,14
48,cant,13
49,wait,13
50,favorite,12
51,something,12
52,first,12
53,little,12
54,dont,12
55,pancakes,12
56,try,11
57,looked,11
58,seating,11
59,full,11
60,know,11
61,didnt,11
62,tried,10
63,chocolate,10
64,flavor,10
65,cake,10
66,pretty,10
67,nice,10
68,menu,9
69,never,9
70,salad,9
71,places,9
72,right,9
73,ive,9
74,think,9
75,wont,9
76,theres,9
77,taste,9
78,shop,9
79,im,9
80,crab,9
81,ever,9
82,awesome,9
83,check,8
84,read,8
85,bit,8
86,sauce,8
87,much,8
88,top,8
89,eat,8
90,special,8
91,table,8
92,cheese,8
93,came,7
94,sugar,7
95,visit,7
96,way,7
97,want,7
98,owner,7
99,however,7
100,bean,7
101,ordered,7
102,area,7
103,give,7
104,ice,7
105,line,7
106,helpful,7
107,take,7
108,going,7
109,lot,7
110,store,7
111,night,7
112,location,7
113,dishes,7
114,served,6
115,reading,6
116,hot,6
117,ready,6
118,wasnt,6
119,fact,6
120,enough,6
121,flavors,6
122,liked,6
123,dinner,6
124,pizza,6
125,sweet,6
126,local,6
127,quality,6
128,fast,6
129,us,6
130,bakery,6
131,enjoy,6
132,times,6
133,still,6
134,people,6
135,home,6
136,options,6
137,youll,5
138,reasonable,5
139,thought,5
140,iced,5
141,find,5
142,stuff,5
143,kind,5
144,better,5
145,start,5
146,could,5
147,spot,5
148,banana,5
149,beers,5
150,selection,5
151,bacon,5
152,items,5
153,side,5
154,eating,5
155,3,5
156,variety,5
157,friends,5
158,fantastic,5
159,last,5
160,different,5
161,ones,5
162,asked,5
163,drink,5
164,bread,5
165,easy,5
166,bar,5
167,went,5
168,youre,5
169,let,5
170,spicy,5
171,next,5
172,couple,5
173,stop,5
174,say,5
175,work,5
176,cafe,4
177,else,4
178,heating,4
179,big,4
180,though,4
181,incredibly,4
182,pork,4
183,pastry,4
184,prices,4
185,parking,4
186,loved,4
187,close,4
188,feel,4
189,favory,4
190,created,4
191,family,4
192,meals,4
193,meal,4
194,price,4
195,thing,4
196,buy,4
197,actually,4
198,house,4
199,burger,4
200,another,4
201,yes,4
202,baked,4
203,walked,4
204,quick,4
205,market,4
206,mouth,4
207,small,4
208,restaurant,4
209,highly,4
210,bad,4
211,enjoying,4
212,sample,4
213,many,4
214,ill,4
215,part,4
216,steak,4
217,trying,4
218,asking,4
219,spice,4
220,couldnt,4
221,10,4
222,coming,4
223,fries,3
224,absolutely,3
225,burgers,3
226,deliget,3
227,music,3
228,homemade,3
229,tasty,3
230,pick,3
231,reas,3
232,tables,3
233,probably,3
234,products,3
235,see,3
236,lobster,3
237,groce,3
238,whipped,3
239,bring,3
240,quite,3
241,name,3
242,waiter,3
243,sat,3
244,friend,3
245,past,3
246,bottle,3
247,told,3
248,tampa,3
249,wonderful,3
250,comes,3
251,heard,3
252,opened,3
253,must,3
254,bost,3
255,rice,3
256,recommendation,3
257,left,3
258,town,3
259,sides,3
260,overall,3
261,review,3
262,juice,3
263,youd,3
264,maybe,3
265,year,3
266,things,3
267,chef,3
268,grilled,3
269,brewery,3
270,lunch,3
271,size,3
272,sunday,3
273,appeet,3
274,five,3
275,man,3
276,room,3
277,kits,3
278,customers,3
279,corn,3
280,felt,3
281,clean,3
282,dies,3
283,basing,3
284,walk,3
285,years,3
286,fried,3
287,offer,3
288,cupcakes,3
289,wine,3
290,flavorful,3
291,attentive,3
292,husband,3
293,enjoyed,3
294,need,3
295,priced,3
296,die,3
297,brew,3
298,sore,3
299,minutes,3
300,long,3
301,santa,3
302,two,3
303,keep,3
304,funn,3
305,b,3
306,happy,3
307,mall,3
308,week,3
309,bother,3
310,real,3
311,tell,3
312,wings,3
313,hours,2
314,fabtion,2
315,minn,2
316,watery,2
317,healthy,2
318,topping,2
319,group,2
320,low,2
321,addition,2
322,street,2
323,happed,2
324,show,2
325,hard,2
326,hole,2
327,le,2
328,tike,2
329,nole,2
330,expect,2
331,fish,2
332,lachs,2
333,grocery,2
334,light,2
335,ol,2
336,botes,2
337,calories,2
338,marting,2
339,iter,2
340,oven,2
341,butter,2
342,hake,2
343,mine,2
344,said,2
345,genera,2
346,duch,2
347,med,2
348,delivers,2
