,word,frequency
0,food,86
1,place,81
2,great,76
3,good,71
4,friendly,47
5,love,41
6,go,40
7,best,39
8,delicious,39
9,really,39
10,staff,38
11,back,36
12,service,35
13,try,32
14,time,30
15,definitely,30
16,little,28
17,nice,28
18,amazing,26
19,always,26
20,get,26
21,one,25
22,fresh,24
23,also,20
24,chicken,19
25,got,18
26,like,17
27,people,17
28,small,17
29,coffee,17
30,selection,17
31,would,16
32,new,16
33,going,16
34,wine,15
35,youre,15
36,cant,15
37,bit,14
38,area,14
39,city,14
40,wait,14
41,helpful,14
42,think,13
43,location,13
44,atmosphere,13
45,thing,12
46,first,12
47,prices,12
48,know,12
49,recommend,11
50,friends,11
51,breakfast,11
52,im,11
53,dont,11
54,menu,11
55,town,10
56,bar,10
57,even,10
58,want,10
59,trying,10
60,find,10
61,sure,9
62,years,9
63,visit,9
64,beer,9
65,much,9
66,never,9
67,experience,9
68,side,9
69,bottle,9
70,didnt,9
71,ordered,9
72,tried,9
73,well,9
74,super,9
75,many,9
76,salad,8
77,different,8
78,burger,8
79,looking,8
80,clean,8
81,come,8
82,variety,8
83,make,8
84,awesome,8
85,pretty,8
86,lobster,8
87,favorite,7
88,ever,7
89,eat,7
90,say,7
91,night,7
92,fantastic,7
93,part,7
94,day,7
95,roll,7
96,pizza,7
97,places,7
98,sweet,7
99,worth,7
100,wanted,7
101,drinks,7
102,enjoy,7
103,app,7
104,cakes,7
105,highly,6
106,next,6
107,cupcake,6
108,help,6
109,disappointed,6
110,lunch,6
111,taste,6
112,could,6
113,hard,6
114,everything,6
115,excellent,6
116,veggies,6
117,pork,6
118,south,6
119,twice,6
120,lot,6
121,cheese,6
122,crab,6
123,market,6
124,reasonable,6
125,long,6
126,coming,6
127,restaurant,6
128,around,6
129,choice,6
130,reno,6
131,two,6
132,drink,6
133,wings,5
134,things,5
135,extremely,5
136,pleased,5
137,made,5
138,decor,5
139,order,5
140,impressed,5
141,ive,5
142,store,5
143,big,5
144,french,5
145,family,5
146,werent,5
147,kind,5
148,see,5
149,mod,5
150,enjoyed,5
151,quick,5
152,chairs,5
153,happy,5
154,feel,5
155,better,5
156,way,5
157,chocolate,5
158,yelp,5
159,rolls,5
160,beers,5
161,wasnt,5
162,burgers,4
163,went,4
164,cup,4
165,close,4
166,incredible,4
167,something,4
168,put,4
169,work,4
170,care,4
171,take,4
172,bad,4
173,chance,4
174,toast,4
175,week,4
176,authentic,4
177,group,4
178,sandwich,4
179,theres,4
180,meat,4
181,need,4
182,buy,4
183,bakery,4
184,shop,4
185,doesnt,4
186,I,4
187,flavorful,4
188,yummy,4
189,yet,4
190,review,4
191,fan,4
192,check,4
193,lived,4
194,local,4
195,neighborhood,4
196,servers,4
197,thought,4
198,fun,4
199,attentive,4
200,minutes,4
201,chip,4
202,dessert,4
203,ambience,4
204,chop,4
205,kidding,4
206,!,4
207,street,3
208,party,3
209,budget,3
210,cream,3
211,makes,3
