,word,frequency
0,great,62
1,place,57
2,food,52
3,good,50
4,get,37
5,delicious,37
6,best,35
7,really,33
8,time,30
9,go,30
10,well,30
11,one,30
12,coffee,29
13,like,27
14,fresh,26
15,would,24
16,amazing,23
17,always,22
18,come,21
19,everything,21
20,service,21
21,chicken,21
22,love,21
23,staff,20
24,made,20
25,definitely,19
26,restaurant,19
27,nice,18
28,eat,17
29,beer,17
30,order,17
31,back,17
32,try,17
33,little,16
34,want,16
35,also,15
36,much,15
37,went,15
38,dont,15
39,wait,14
40,breakfast,14
41,friendly,14
42,super,14
43,ordered,13
44,town,13
45,make,13
46,cheese,13
47,feel,13
48,cream,13
49,chocolate,13
50,favorite,12
51,worth,12
52,2,12
53,got,12
54,sweet,12
55,around,12
56,going,12
57,cant,12
58,loved,12
59,find,11
60,excellent,11
61,im,11
62,lunch,11
63,big,11
64,perfect,11
65,price,11
66,ever,11
67,every,11
68,awesome,11
69,ice,11
70,day,11
71,first,11
72,thing,11
73,long,11
74,area,10
75,pretty,10
76,could,10
77,bit,10
78,see,10
79,huge,10
80,fantastic,10
81,absolutely,10
82,better,10
83,pizza,10
84,think,10
85,hot,10
86,salad,9
87,must,9
88,experience,9
89,wonderful,9
90,sandwiches,9
91,new,9
92,need,9
93,flavors,9
94,us,9
95,recommend,9
96,line,9
97,location,9
98,say,9
99,quality,9
100,dining,9
101,tried,9
102,didnt,8
103,perfectly,8
104,trying,8
105,came,8
106,night,8
107,free,8
108,many,8
109,ive,8
110,sauce,8
111,stop,8
112,busy,8
113,side,8
114,way,8
115,two,8
116,took,8
117,local,8
118,even,8
119,prices,8
120,sandwich,8
121,donuts,8
122,looking,8
123,buy,8
124,usually,8
125,disappointed,8
126,friends,8
127,top,8
128,variety,7
129,take,7
130,burger,7
131,visit,7
132,youll,7
133,outside,7
134,served,7
135,bar,7
136,happy,7
137,different,7
138,fried,7
139,selection,7
140,spot,7
141,next,7
142,large,7
143,times,7
144,bakery,7
145,tour,7
146,5,7
147,3,7
148,menu,7
149,flavor,7
150,parking,7
151,table,7
152,cafe,6
153,share,6
154,chef,6
155,ones,6
156,special,6
157,found,6
158,fast,6
159,desserts,6
160,things,6
161,oh,6
162,enough,6
163,healthy,6
164,cake,6
165,family,6
166,kind,6
167,sure,6
168,street,6
169,today,6
170,use,6
171,st,6
172,fish,6
173,seafood,6
174,might,6
175,trip,6
176,dinner,6
177,counter,6
178,right,6
179,white,6
180,full,6
181,last,5
182,bring,5
183,burgers,5
184,know,5
185,10,5
186,available,5
187,run,5
188,home,5
189,said,5
190,life,5
191,crust,5
192,list,5
193,room,5
194,couple,5
195,chance,5
196,far,5
197,work,5
198,restaurants,5
199,wasnt,5
200,choices,5
201,crab,5
202,lobster,5
203,bowl,5
204,walked,5
205,never,5
206,egg,5
207,city,5
208,atmosphere,5
209,tomato,5
210,seating,5
211,fun,5
212,without,5
213,decided,5
214,toppings,5
215,options,5
216,bread,5
217,brought,5
218,yet,5
219,friend,5
220,inside,5
221,pleasant,5
222,something,5
223,coming,5
224,drinks,5
225,overall,5
226,twice,5
227,wings,5
228,check,5
229,tasty,5
230,minutes,5
231,grocery,4
232,brewery,4
233,tea,4
234,pie,4
235,prepared,4
236,dish,4
237,people,4
238,another,4
239,exceptional,4
240,small,4
241,give,4
242,checking,4
243,open,4
244,rice,4
245,banana,4
246,truck,4
247,least,4
248,conversation,4
249,almost,4
250,tomatoes,4
251,italian,4
252,flavorful,4
253,getting,4
254,eating,4
255,remember,4
256,yelp,4
257,cakes,4
258,items,4
259,return,4
260,favorites,4
261,baked,4
262,butter,4
263,customer,4
264,portions,4
265,quick,4
266,still,4
267,yum,4
268,greek,4
269,wow,4
270,dishes,4
271,wine,4
272,reasonable,4
273,authentic,4
274,places,4
275,truly,4
276,guys,4
277,mexican,4
278,store,4
279,id,4
280,taste,4
281,possibly,4
282,put,4
283,30,4
284,strawberry,4
285,lots,4
286,latte,4
287,live,4
288,custard,4
289,tampa,4
290,affordable,4
291,drive,4
292,second,4
293,looked,4
294,gift,4
295,cute,4
296,patio,4
297,course,4
298,especially,4
299,vanilla,4
300,wouldnt,4
301,havent,4
302,knew,4
303,enjoy,4
304,ate,4
305,look,4
306,behind,4
307,entire,3
308,theyve,3
309,weekend,3
310,stuff,3
311,pumpkin,3
312,kitchen,3
313,makes,3
314,prefer,3
315,birthday,3
316,party,3
317,lady,3
318,addition,3
319,grab,3
320,ended,3
321,meal,3
322,apple,3
323,u,3
324,maybe,3
325,though,3
326,house,3
327,theyre,3
328,ask,3
329,front,3
330,philly,3
331,expensive,3
332,attentive,3
333,wish,3
334,beers,3
335,touch,3
336,tell,3
337,extremely,3
338,cold,3
339,saturday,3
340,concrete,3
341,warm,3
342,box,3
343,theres,3
344,real,3
345,heaven,3
346,along,3
347,tiny,3
348,unique,3
349,arent,3
350,heard,3
351,done,3
352,everyone,3
353,spicy,3
354,mention,3
355,highly,3
356,yes,3
357,seem,3
358,serve,3
359,fan,3
360,believe,3
361,lamb,3
362,soft,3
363,chicago,3
364,care,3
365,donut,3
366,crowded,3
367,hours,3
368,old,3
369,cinnamon,3
370,size,3
371,short,3
372,please,3
373,purchased,3
374,comfortable,3
375,giant,3
376,delish,3
377,savory,3
378,past,3
379,cupcake,3
380,chinese,3
381,decent,3
382,louis,3
383,customers,3
384,high,3
385,philadelphia,3
386,cool,3
387,yeah,3
388,review,3
389,although,3
390,sample,3
391,man,3
392,lines,3
393,plus,3
394,guy,3
395,cooked,3
396,inexpensive,3
397,however,3
398,welcoming,3
399,bad,3
400,weve,3
401,goes,3
402,probably,3
403,meat,3
404,selling,3
405,reno,3
406,various,3
407,close,3
408,interesting,3
409,phenomenal,3
410,head,3
411,typically,3
412,anything,3
413,lot,3
414,fries,3
415,music,3
416,daily,3
417,leave,3
418,1,3
419,cheeseburger,3
420,told,3
421,glazed,3
422,hands,3
423,games,3
424,plate,3
425,youre,3
426,light,3
427,setting,3
428,start,3
429,biscuit,3
430,let,3
431,opened,3
432,wanted,2
433,appetizer,2
434,building,2
435,either,2
436,stout,2
437,drink,2
438,mixed,2
439,forever,2
440,shops,2
441,bite,2
442,thank,2
443,saw,2
444,actually,2
445,morning,2
446,member,2
447,wawa,2
448,toast,2
449,beginning,2
450,samples,2
451,french,2
452,five,2
453,charming,2
454,someone,2
455,husband,2
456,job,2
457,draft,2
458,section,2
459,professional,2
460,banh,2
461,mi,2
462,less,2
463,considering,2
464,obviously,2
465,server,2
466,since,2
467,fair,2
468,cookies,2
469,famous,2
470,bought,2
471,servers,2
472,hope,2
473,corner,2
474,juices,2
475,portion,2
476,recommendations,2
477,smoke,2
478,group,2
479,exactly,2
480,teas,2
481,gelato,2
482,steak,2
483,tasting,2
484,checked,2
485,bacon,2
486,type,2
487,despite,2
488,helpful,2
489,end,2
490,pulled,2
491,chips,2
492,salsa,2
493,peppers,2
494,following,2
495,diverse,2
496,christmas,2
497,creative,2
498,including,2
499,joint,2
500,near,2
501,arrived,2
502,feeling,2
503,future,2
504,ago,2
505,fine,2
506,save,2
507,king,2
508,cookie,2
509,market,2
510,hit,2
511,incredible,2
512,combination,2
513,request,2
514,read,2
515,added,2
516,literally,2
517,points,2
518,years,2
519,serving,2
520,word,2
521,except,2
522,spices,2
523,selections,2
524,doesnt,2
525,sliders,2
526,across,2
527,shop,2
528,die,2
529,dark,2
530,gluten,2
531,pm,2
532,several,2
533,clam,2
534,cook,2
535,soup,2
536,mind,2
537,knowledgeable,2
538,making,2
539,kids,2
540,4,2
541,expect,2
542,three,2
543,bottles,2
544,carmel,2
545,santa,2
546,po,2
547,6,2
548,deliver,2
549,problem,2
550,melted,2
551,rolls,2
552,soon,2
553,young,2
554,roll,2
555,offers,2
556,keeping,2
557,door,2
558,health,2
559,board,2
560,wont,2
561,kept,2
562,days,2
563,iced,2
564,brisket,2
565,seen,2
566,pepper,2
567,gyro,2
568,funny,2
569,anyone,2
570,named,2
571,known,2
572,history,2
573,cheap,2
574,brew,2
575,whipped,2
576,crispy,2
577,manager,2
578,bbq,2
579,hour,2
580,difficult,2
581,thinking,2
582,jumbo,2
583,regular,2
584,style,2
585,shopping,2
586,keep,2
587,liquor,2
588,crazy,2
589,follow,2
590,walking,2
591,called,2
592,notch,2
593,tap,2
594,beverages,2
595,1st,2
596,thin,2
597,relaxing,2
598,view,2
599,aces,2
600,deal,2
601,reminded,2
602,waiting,2
603,season,2
604,dog,2
605,extra,2
606,vegan,2
607,chip,2
608,cashier,2
609,visiting,2
610,wife,2
611,downtown,2
612,yesterday,2
613,sweets,2
614,meals,2
615,traditional,2
616,worthy,2
617,tons,2
618,wedding,2
619,honey,2
620,liked,2
621,mediterranean,2
622,simply,2
623,suggested,2
