,word,frequency,,,gpt,,word model,,,Word,Real Reviews,GPT,Word Model,Char Model
0,place,60,,food,86,,great,62,,food,46,86,52,
1,great,49,,place,81,,place,57,,place,60,81,57,
2,food,46,,great,76,,food,52,,great,49,76,62,
3,good,34,,good,71,,good,50,,good,34,71,50,
4,love,31,,friendly,47,,get,37,,get,30,26,37,
5,get,30,,love,41,,delicious,37,,love,31,41,21,
6,one,28,,go,40,,best,35,,friendly,13,47,14,
7,delicious,25,,best,39,,really,33,,delicious,25,39,37,
8,time,24,,delicious,39,,time,30,,best,22,39,35,
9,also,24,,really,39,,go,30,,go,23,40,30,
10,go,23,,staff,38,,well,30,,really,16,39,33,
11,best,22,,back,36,,one,30,,coffee,7,17,29,
12,back,22,,service,35,,coffee,29,,pizza,18,7,10,
13,fresh,22,,try,32,,like,27,,,,,,
14,always,20,,time,30,,fresh,26,,,,,,
15,even,19,,definitely,30,,would,24,,,,,,
16,amazing,19,,little,28,,amazing,23,,,,,,
17,like,18,,nice,28,,always,22,,,,,,
18,pizza,18,,amazing,26,,come,21,,,,,,
19,service,17,,always,26,,everything,21,,,,,,
20,favorite,16,,get,26,,service,21,,,,,,
21,really,16,,,,,chicken,21,,,,,,
22,wait,16,,,,,love,21,,,,,,
23,burger,16,,,,,,,,,,,,
24,definitely,15,,,,,,,,,,,,
25,awesome,15,,,,,,,,,,,,
26,recommend,15,,,,,,,,,,,,
27,ive,14,,,,,,,,,,,,
28,nice,14,,,,,,,,,,,,
29,little,14,,,,,,,,,,,,
30,cant,14,,,,,,,,,,,,
31,friendly,13,,,,,,,,,,,,
32,staff,13,,,,,,,,,,,,
33,well,13,,,,,,,,,,,,
34,everything,13,,,,,,,,,,,,
35,many,13,,,,,,,,,,,,
36,crab,13,,,,,,,,,,,,
37,first,13,,,,,,,,,,,,
38,im,13,,,,,,,,,,,,
39,made,13,,,,,,,,,,,,
40,order,13,,,,,,,,,,,,
41,could,13,,,,,,,,,,,,
42,right,12,,,,,,,,,,,,
43,perfect,12,,,,,,,,,,,,
44,salad,12,,,,,,,,,,,,
45,store,12,,,,,,,,,,,,
46,breakfast,12,,,,,,,,,,,,
47,ordered,12,,,,,,,,,,,,
48,would,12,,,,,,,,,,,,
49,restaurant,12,,,,,,,,,,,,
50,people,11,,,,,,,,,,,,
51,super,11,,,,,,,,,,,,
52,came,11,,,,,,,,,,,,
53,visit,11,,,,,,,,,,,,
54,know,11,,,,,,,,,,,,
55,try,11,,,,,,,,,,,,
56,dont,11,,,,,,,,,,,,
57,tour,11,,,,,,,,,,,,
58,worth,11,,,,,,,,,,,,
59,two,11,,,,,,,,,,,,
60,cake,11,,,,,,,,,,,,
61,every,11,,,,,,,,,,,,
62,make,10,,,,,,,,,,,,
63,local,10,,,,,,,,,,,,
64,going,10,,,,,,,,,,,,
65,day,10,,,,,,,,,,,,
66,year,10,,,,,,,,,,,,
67,chicken,10,,,,,,,,,,,,
68,come,10,,,,,,,,,,,,
69,menu,10,,,,,,,,,,,,
70,ice,10,,,,,,,,,,,,
71,sweet,9,,,,,,,,,,,,
72,lot,9,,,,,,,,,,,,
73,enjoy,9,,,,,,,,,,,,
74,next,9,,,,,,,,,,,,
75,bit,9,,,,,,,,,,,,
76,went,9,,,,,,,,,,,,
77,small,9,,,,,,,,,,,,
78,way,9,,,,,,,,,,,,
79,us,9,,,,,,,,,,,,
80,want,9,,,,,,,,,,,,
81,say,9,,,,,,,,,,,,
82,donuts,9,,,,,,,,,,,,
83,last,9,,,,,,,,,,,,
84,chocolate,9,,,,,,,,,,,,
85,got,9,,,,,,,,,,,,
86,ever,8,,,,,,,,,,,,
87,long,8,,,,,,,,,,,,
88,yummy,8,,,,,,,,,,,,
89,trying,8,,,,,,,,,,,,
90,minutes,8,,,,,,,,,,,,
91,enough,8,,,,,,,,,,,,
92,meat,8,,,,,,,,,,,,
93,cannoli,8,,,,,,,,,,,,
94,experience,8,,,,,,,,,,,,
95,friends,8,,,,,,,,,,,,
96,cream,8,,,,,,,,,,,,
97,find,8,,,,,,,,,,,,
98,lunch,8,,,,,,,,,,,,
99,large,8,,,,,,,,,,,,
100,taste,8,,,,,,,,,,,,
101,sandwich,8,,,,,,,,,,,,
102,tried,8,,,,,,,,,,,,
103,excellent,8,,,,,,,,,,,,
104,theres,7,,,,,,,,,,,,
105,huge,7,,,,,,,,,,,,
106,need,7,,,,,,,,,,,,
107,prices,7,,,,,,,,,,,,
108,hours,7,,,,,,,,,,,,
109,rock,7,,,,,,,,,,,,
110,much,7,,,,,,,,,,,,
111,side,7,,,,,,,,,,,,
112,area,7,,,,,,,,,,,,
113,around,7,,,,,,,,,,,,
114,beer,7,,,,,,,,,,,,
115,quality,7,,,,,,,,,,,,
116,brewery,7,,,,,,,,,,,,
117,never,7,,,,,,,,,,,,
118,top,7,,,,,,,,,,,,
119,coffee,7,,,,,,,,,,,,
120,fantastic,7,,,,,,,,,,,,
121,take,7,,,,,,,,,,,,
122,since,7,,,,,,,,,,,,
123,perfectly,7,,,,,,,,,,,,
124,better,7,,,,,,,,,,,,
125,music,6,,,,,,,,,,,,
126,parking,6,,,,,,,,,,,,
127,night,6,,,,,,,,,,,,
128,looked,6,,,,,,,,,,,,
129,away,6,,,,,,,,,,,,
130,youre,6,,,,,,,,,,,,
131,meal,6,,,,,,,,,,,,
132,along,6,,,,,,,,,,,,
133,think,6,,,,,,,,,,,,
134,years,6,,,,,,,,,,,,
135,bar,6,,,,,,,,,,,,
136,spot,6,,,,,,,,,,,,
137,eat,6,,,,,,,,,,,,
138,new,6,,,,,,,,,,,,
139,seafood,6,,,,,,,,,,,,
140,lots,6,,,,,,,,,,,,
141,anywhere,6,,,,,,,,,,,,
142,full,6,,,,,,,,,,,,
143,fried,6,,,,,,,,,,,,
144,variety,6,,,,,,,,,,,,
145,use,6,,,,,,,,,,,,
146,quite,6,,,,,,,,,,,,
147,yet,6,,,,,,,,,,,,
148,different,6,,,,,,,,,,,,
149,return,6,,,,,,,,,,,,
150,tea,6,,,,,,,,,,,,
151,hot,6,,,,,,,,,,,,
152,free,6,,,,,,,,,,,,
153,fries,6,,,,,,,,,,,,
154,wings,6,,,,,,,,,,,,
155,probably,5,,,,,,,,,,,,
156,dogs,5,,,,,,,,,,,,
157,another,5,,,,,,,,,,,,
158,burgers,5,,,,,,,,,,,,
159,location,5,,,,,,,,,,,,
160,actually,5,,,,,,,,,,,,
161,tables,5,,,,,,,,,,,,
162,wanted,5,,,,,,,,,,,,
163,places,5,,,,,,,,,,,,
164,dinner,5,,,,,,,,,,,,
165,look,5,,,,,,,,,,,,
166,pretty,5,,,,,,,,,,,,
167,cooked,5,,,,,,,,,,,,
168,shop,5,,,,,,,,,,,,
169,fun,5,,,,,,,,,,,,
170,customer,5,,,,,,,,,,,,
171,far,5,,,,,,,,,,,,
172,line,5,,,,,,,,,,,,
173,didnt,5,,,,,,,,,,,,
