,real_trained_on_real,fake_trained_on_real,real_trained_on_fake,fake_trained_on_fake
0,0.38,0.413333333,0.406666667,0.513333333
1,0.446666667,0.38,0.426666667,0.466666667
2,0.426666667,0.446666667,0.42,0.453333333
3,0.326666667,0.433333333,0.42,0.46
4,0.373333333,0.38,0.426666667,0.446666667
5,0.4,0.426666667,0.453333333,0.5
6,0.366666667,0.426666667,0.46,0.453333333
7,0.386666667,0.433333333,0.44,0.5
8,0.346666667,0.5,0.406666667,0.426666667
9,0.406666667,0.52,0.406666667,0.486666667
10,0.36,0.48,0.406666667,0.4
11,0.366666667,0.466666667,0.466666667,0.52
12,0.433333333,0.42,0.48,0.42
13,0.393333333,0.453333333,0.393333333,0.44
14,0.413333333,0.513333333,0.44,0.4
15,0.406666667,0.393333333,0.466666667,0.473333333
16,0.433333333,0.426666667,0.466666667,0.493333333
17,0.413333333,0.453333333,0.406666667,0.433333333
18,0.373333333,0.42,0.46,0.473333333
19,0.453333333,0.466666667,0.413333333,0.433333333
,0.417,0.440,0.410,0.473
