,real_trained_on_real,fake_trained_on_real,real_trained_on_fake,fake_trained_on_fake
0,[0.65384615 0.08333333 0.46153846 0.51724138 0.45454545],[0.5625     0.08       0.3030303  0.64       0.51428571],[0.73076923 0.38888889 0.30769231 0.51724138 0.36363636],[0.625      0.56       0.12121212 0.44       0.4       ]
1,[0.37837838 0.25       0.55555556 0.3        0.5       ],[0.47826087 0.15625    0.59459459 0.48275862 0.44827586],[0.89189189 0.17857143 0.11111111 0.26666667 0.46428571],[0.73913043 0.21875    0.2972973  0.51724138 0.48275862]
2,[0.43333333 0.36666667 0.19354839 0.22580645 0.60714286],[0.34285714 0.26470588 0.28571429 0.48       0.67857143],[0.6        0.26666667 0.35483871 0.48387097 0.64285714],[0.57142857 0.44117647 0.28571429 0.52       0.5       ]
3,[0.45454545 0.18181818 0.20689655 0.39285714 0.7037037 ],[0.51351351 0.1        0.22580645 0.44       0.48148148],[0.57575758 0.27272727 0.17241379 0.35714286 0.74074074],[0.43243243 0.43333333 0.29032258 0.56       0.62962963]
4,[0.91304348 0.1025641  0.26666667 0.25       0.84615385],[0.6969697  0.04166667 0.38709677 0.34375    0.86666667],[0.73913043 0.53846154 0.1        0.21875    0.73076923],[0.60606061 0.58333333 0.38709677 0.34375    0.76666667]
5,[0.53125    0.34615385 0.25       0.1875     0.65625   ],[0.35714286 0.28       0.37142857 0.58823529 0.53571429],[0.875      0.5        0.07142857 0.125      0.78125   ],[0.75       0.32       0.17142857 0.32352941 0.64285714]
6,[0.61290323 0.19354839 0.25       0.13888889 0.45833333],[0.40625    0.14285714 0.37837838 0.30769231 0.59259259],[0.74193548 0.41935484 0.03571429 0.33333333 0.625     ],[0.59375    0.53571429 0.16216216 0.46153846 0.7037037 ]
7,[0.60606061 0.23529412 0.29166667 0.15151515 0.73076923],[0.66666667 0.33333333 0.54545455 0.37931034 0.55      ],[0.60606061 0.35294118 0.16666667 0.27272727 0.34615385],[0.4        0.5        0.27272727 0.37931034 0.45      ]
8,[0.42857143 0.13888889 0.39285714 0.32142857 0.69565217],[0.3        0.13043478 0.55555556 0.5        0.85185185],[0.77142857 0.27777778 0.10714286 0.07142857 0.69565217],[0.66666667 0.43478261 0.16666667 0.32352941 0.7037037 ]
9,[0.72727273 0.         0.39285714 0.3        0.48571429],[0.76666667 0.03448276 0.32142857 0.48387097 0.5625    ],[0.63636364 0.14285714 0.28571429 0.3        0.62857143],[0.73333333 0.27586207 0.25       0.25806452 0.625     ]
10,[0.44117647 0.05555556 0.24137931 0.61904762 0.46666667],[0.5        0.03571429 0.25806452 0.9        0.51515152],[0.88235294 0.19444444 0.31034483 0.33333333 0.26666667],[0.78571429 0.53571429 0.32258065 0.53333333 0.54545455]
11,[0.5        0.12121212 0.08571429 0.33333333 0.72      ],[0.61538462 0.09375    0.28571429 0.64516129 0.53846154],[0.86666667 0.21212121 0.17142857 0.14814815 0.84      ],[0.80769231 0.34375    0.25714286 0.35483871 0.73076923]
12,[0.41666667 0.45833333 0.16129032 0.4        0.5       ],[0.38235294 0.39285714 0.29411765 0.42307692 0.60714286],[0.69444444 0.375      0.12903226 0.28       0.61764706],[0.52941176 0.42857143 0.17647059 0.46153846 0.60714286]
13,[0.32432432 0.24137931 0.37037037 0.38709677 0.76923077],[0.3        0.07407407 0.58064516 0.57142857 0.58823529],[0.7027027  0.27586207 0.40740741 0.32258065 0.5       ],[0.63333333 0.59259259 0.41935484 0.71428571 0.52941176]
14,[0.71428571 0.25925926 0.23333333 0.3125     0.48484848],[0.56666667 0.17391304 0.14814815 0.62857143 0.42857143],[0.78571429 0.2962963  0.43333333 0.125      0.39393939],[0.56666667 0.47826087 0.51851852 0.2        0.4       ]
15,[0.41176471 0.28571429 0.39130435 0.29032258 0.5       ],[0.35135135 0.29032258 0.5        0.57142857 0.38461538],[0.64705882 0.21428571 0.30434783 0.32258065 0.76470588],[0.48648649 0.41935484 0.42857143 0.35714286 0.69230769]
16,[0.67857143 0.2962963  0.28125    0.63636364 0.17073171],[0.60714286 0.1875     0.16666667 0.76923077 0.14814815],[0.82142857 0.22222222 0.34375    0.09090909 0.63414634],[0.64285714 0.34375    0.5        0.23076923 0.85185185]
17,[0.36842105 0.33333333 0.42307692 0.09375    0.74074074],[0.41935484 0.41666667 0.66666667 0.5483871  0.57142857],[0.76315789 0.11111111 0.73076923 0.34375    0.51851852],[0.70967742 0.22222222 0.58333333 0.48387097 0.5       ]
18,[0.64285714 0.05       0.52941176 0.17647059 0.51612903],[0.48387097 0.         0.74074074 0.20588235 0.46666667],[0.53571429 0.375      0.35294118 0.20588235 0.58064516],[0.58064516 0.46428571 0.51851852 0.35294118 0.7       ]
19,[0.62962963 0.08823529 0.4137931  0.06060606 0.66666667],[0.6        0.10344828 0.48275862 0.11538462 0.48780488],[0.77777778 0.38235294 0.31034483 0.54545455 0.33333333],[0.8        0.48275862 0.51724138 0.46153846 0.26829268]
