,1star,2star,3star,4star,5star
0,0.716666667,0.8,0.783333333,0.616666667,0.566666667
1,0.666666667,0.716666667,0.6,0.583333333,0.616666667
2,0.65,0.783333333,0.683333333,0.683333333,0.716666667
3,0.7,0.816666667,0.75,0.666666667,0.6
4,0.716666667,0.866666667,0.616666667,0.683333333,0.783333333
5,0.616666667,0.6,0.666666667,0.633333333,0.516666667
6,0.666666667,0.65,0.733333333,0.633333333,0.733333333
7,0.633333333,0.7,0.616666667,0.716666667,0.583333333
8,0.716666667,0.783333333,0.8,0.633333333,0.783333333
9,0.683333333,0.683333333,0.583333333,0.583333333,0.583333333
10,0.716666667,0.7,0.783333333,0.666666667,0.8
11,0.616666667,0.7,0.6,0.633333333,0.716666667
12,0.666666667,0.7,0.7,0.7,0.85
13,0.683333333,0.766666667,0.766666667,0.783333333,0.633333333
14,0.683333333,0.866666667,0.583333333,0.7,0.733333333
15,0.6,0.683333333,0.766666667,0.683333333,0.683333333
16,0.7,0.816666667,0.716666667,0.716666667,0.65
17,0.633333333,0.8,0.766666667,0.733333333,0.566666667
18,0.733333333,0.716666667,0.683333333,0.55,0.7
19,0.616666667,0.716666667,0.783333333,0.7,0.683333333
,0.667,0.758,0.783,0.658,0.625
